Bairro;Título;Preco;Metros_Quadrados;Classificacao_IDH;IDH_Valor;Renda_Media_Mensal;IDE_Sem_Instrucao;IDE_Fund_Med_Incomp;IDE_Medio_Comp;IDE_Superior_Comp;Classificacao_IBEU;Condicoes_Ambientais_Urbanas;Condicoes_Habitacionais_Urbanas;Preco_m2
monte castelo;Casa para Venda em Fortaleza, Monte Castelo, 3 dormitórios, 2 banheiros, 4 vagas;750000;150;Médio (0,3501-0,5000);0,434517035;688,29;32,600355036;16,686709042;38,157819390;12,245891313;0,901-1,000 (Muito alto);0,895374394;0,837843346;5000.0
alvaro weyne;Casa para Venda em Fortaleza, Álvaro Weyne, 3 dormitórios, 1 suíte, 1 banheiro, 2 vagas;450000;236;Médio (0,3501-0,5000);0,364663527;562,49;43,363610372;16,791660252;36,088323913;4,400800545;0,801-0,900 (Alto);0,88182318;0,814877908;
presidente kennedy;Casa para Venda em Fortaleza, Presidente Kennedy, 2 dormitórios, 1 banheiro, 1 vaga;330000;144;Médio (0,3501-0,5000);0,428987851;778,11;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
presidente kennedy;Casa para Venda em Fortaleza, Presidente Kennedy, 4 dormitórios, 2 suítes, 1 banheiro, 3 v;650000;264;Médio (0,3501-0,5000);0,428987851;778,11;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
sao bento;Casa para Venda em Fortaleza, São Bento, 3 dormitórios, 3 suítes, 3 banheiros, 2 vagas;460000;138;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;
sao bento;Casa para Venda em Fortaleza, São Bento, 3 dormitórios, 3 suítes, 3 banheiros, 2 vagas;420000;107;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;
sao bento;Casa para Venda em Fortaleza, São Bento, 3 dormitórios, 3 suítes, 3 banheiros, 3 vagas;699000;134;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;
sao bento;Casa para Venda em Fortaleza, São Bento, 3 dormitórios, 3 suítes, 3 banheiros, 2 vagas;390000;95;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;
sao bento;Casa para Venda em Fortaleza, São Bento, 3 dormitórios, 3 suítes, 3 banheiros, 2 vagas;385000;105;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;
henrique jorge;Casa para Venda em Fortaleza, Henrique Jorge, 2 dormitórios, 1 banheiro, 2 vagas;220000;57;Baixo (0,2501-0,3500);0,340810388;551,52;39,446985766;21,568577343;33,881066162;4,794152973;0,801-0,900 (Alto);0,83456882;0,853452247;
alvaro weyne;Casa para Venda em Fortaleza, Álvaro Weyne, 2 dormitórios, 1 banheiro, 1 vaga;355000;116;Médio (0,3501-0,5000);0,364663527;562,49;43,363610372;16,791660252;36,088323913;4,400800545;0,801-0,900 (Alto);0,88182318;0,814877908;
alvaro weyne;Casa para Venda em Fortaleza, Álvaro Weyne e Carlito, 2 dormitórios, 1 suíte, 2 banheiros,;250000;150;Médio (0,3501-0,5000);0,364663527;562,49;43,363610372;16,791660252;36,088323913;4,400800545;0,801-0,900 (Alto);0,88182318;0,814877908;
jardim america;Casa para Venda em Fortaleza, jardim america, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas;600000;360;Médio (0,3501-0,5000);0,443687971;715,56;33,310618966;19,083853871;41,476433844;15,767556313;0,901-1,000 (Muito alto);0,891607704;0,894104667;
centro;Casa para Venda em Fortaleza, Centro, 7 dormitórios, 3 suítes, 6 banheiros, 4 vagas;2350000;754;Alto (0,5001-0,7000);0,556689243;1062,93;28,155522754;18,385100970;36,512672341;15,938569769;0,901-1,000 (Muito alto);0,874335556;0,871428206;
bom jardim;Casa para Venda em Fortaleza, Granja Lisboa, 2 dormitórios, 2 suítes, 2 banheiros, 2 vagas;235000;135;Muito baixo (0,0000-0,2500);0,19488696;349,75;53,407430930;21,581454430;22,464274373;1,679898380;0,701-0,800 (Médio);0,713230885;0,791368014;
fatima;Casa para Venda em Fortaleza, Fátima, 3 dormitórios, 1 suíte, 2 banheiros, 4 vagas;920000;500;Alto (0,5001-0,7000);0,694795867;1756,11;14,820940358;13,187295372;38,876700307;32,733655112;0,901-1,000 (Muito alto);0,968426708;0,956876508;1840.0
cidade dos funcionarios;Casa para Venda em Fortaleza, Cidade dos Funcionários, 4 dormitórios, 3 suítes, 4 banheiro;800000;128;Alto (0,5001-0,7000);0,571862895;1549,05;36,116420294;18,467084412;29,666368277;14,104952459;0,801-0,900 (Alto);0,782830885;0,853864084;6250.0
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 6 dormitórios, 6 suítes, 7 banheiros, 3 vagas;1350000;318;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
quintino cunha;Casa para Venda em Fortaleza, Quintino Cunha, 4 dormitórios, 4 suítes, 5 banheiros, 2 vaga;380000;301;Muito baixo (0,0000-0,2500);0,222536802;427,43;46,404062241;20,007038536;29,167190367;3,697745155;0,701-0,800 (Médio);0,737688349;0,769851144;
jacarecanga;Casa para Venda em Fortaleza, Jacarecanga, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga;370000;66;Médio (0,3501-0,5000);0,448187913;745,24;32,600355036;16,686709042;38,157819390;12,245891313;0,901-1,000 (Muito alto);0,895374394;0,837843346;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 10 dormitórios, 6 banheiros;780000;600;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;1300.0
vila velha;Casa para Venda em Fortaleza, Vila Velha, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas;550000;120;Baixo (0,2501-0,3500);0,271651977;486,95;40,911753823;21,190490873;31,845091268;5,250986680;0,701-0,800 (Médio);0,811429133;0,813284402;
bela vista;Casa para Venda em Fortaleza, Bela Vista, 4 dormitórios, 3 suítes, 4 banheiros, 3 vagas;420000;200;Médio (0,3501-0,5000);0,375255922;636,82;37,362884205;19,572460784;34,603721313;6,940960653;0,801-0,900 (Alto);0,894409966;0,835727395;2100.0
jardim cearense;Casa para Venda em Fortaleza, Jardim Cearense, 4 dormitórios, 4 suítes, 6 banheiros, 2 vag;600000;360;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;
sao gerardo;Casa para Venda em Fortaleza, São Gerardo, 5 dormitórios, 3 suítes, 4 banheiros, 3 vagas;790000;198;Alto (0,5001-0,7000);0,594207804;1347,59;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
cidade dos funcionarios;Casa para Venda em Fortaleza, Cidade dos Funcionários, 3 dormitórios, 3 suítes, 4 banheiro;529000;130;Alto (0,5001-0,7000);0,571862895;1549,05;36,116420294;18,467084412;29,666368277;14,104952459;0,801-0,900 (Alto);0,782830885;0,853864084;
de lourdes;Casa para Venda em Fortaleza, De Lourdes, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas;1100000;465;Alto (0,5001-0,7000);0,641826217;3211,09;28,634744959;12,451002997;30,174467758;27,458816899;0,901-1,000 (Muito alto);0,885440082;0,851718415;
centro;Casa para Venda em Fortaleza, Centro, 8 dormitórios, 4 suítes, 6 banheiros, 2 vagas;930000;243;Alto (0,5001-0,7000);0,556689243;1062,93;28,155522754;18,385100970;36,512672341;15,938569769;0,901-1,000 (Muito alto);0,874335556;0,871428206;
passare;Casa para Venda em Fortaleza, Passarè, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas;540000;114;Muito baixo (0,0000-0,2500);0,224672553;619,47;45,353468304;17,948414015;28,860651463;7,702337490;0,801-0,900 (Alto);0,747949696;0,803322248;
dionisio torres;Casa para Venda em Fortaleza, Dionisio Torres, 3 dormitórios, 3 suítes, 1 banheiro, 2 vaga;950000;211;Muito alto (0,800-1,0000);0,859689667;2707,35;21,701616731;12,380978974;36,327590540;29,506045291;0,901-1,000 (Muito alto);0,966210918;0,949667769;
monte castelo;Casa para Venda em Fortaleza, Monte Castelo, 4 dormitórios, 3 banheiros, 1 vaga;250000;70;Médio (0,3501-0,5000);0,434517035;688,29;32,600355036;16,686709042;38,157819390;12,245891313;0,901-1,000 (Muito alto);0,895374394;0,837843346;
bom futuro;Casa para Venda em Fortaleza, Montese, 4 dormitórios, 2 suítes, 4 banheiros, 1 vaga;420000;150;Alto (0,5001-0,7000);0,505352588;789,45;33,310618966;19,083853871;41,476433844;15,767556313;0,901-1,000 (Muito alto);0,891607704;0,894104667;2800.0
parque araxa;Casa para Venda em Fortaleza, Parque Araxá, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas;750000;230;Alto (0,5001-0,7000);0,587354605;984,94;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
monte castelo;Casa para Venda em Fortaleza, Monte Castelo, 4 dormitórios, 4 suítes, 1 banheiro;2200000;1080;Médio (0,3501-0,5000);0,434517035;688,29;32,600355036;16,686709042;38,157819390;12,245891313;0,901-1,000 (Muito alto);0,895374394;0,837843346;
barra do ceara;Casa para Venda em Fortaleza, Barra do Ceará, 3 dormitórios, 2 suítes, 3 banheiros, 3 vaga;310000;90;Muito baixo (0,0000-0,2500);0,215715745;398,61;49,425457172;22,871729210;24,403296234;2,761088677;0,801-0,900 (Alto);0,873025616;0,711391675;
bom futuro;Casa para Venda em Fortaleza, Bom Futuro, 4 dormitórios, 1 suíte, 2 banheiros, 2 vagas;450000;180;Alto (0,5001-0,7000);0,505352588;789,45;33,310618966;19,083853871;41,476433844;15,767556313;0,901-1,000 (Muito alto);0,891607704;0,894104667;2500.0
bela vista;Casa para Venda em Fortaleza, Bela Vista, 3 dormitórios, 2 suítes, 3 banheiros, 1 vaga;350000;181;Médio (0,3501-0,5000);0,375255922;636,82;37,362884205;19,572460784;34,603721313;6,940960653;0,801-0,900 (Alto);0,894409966;0,835727395;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga;300000;81;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
centro;Casa para Venda em Fortaleza, Centro, 2 dormitórios, 1 banheiro;300000;134;Alto (0,5001-0,7000);0,556689243;1062,93;28,155522754;18,385100970;36,512672341;15,938569769;0,901-1,000 (Muito alto);0,874335556;0,871428206;
rodolfo teofilo;Casa para Venda em Fortaleza, Rodolfo Teófilo, 3 dormitórios, 3 suítes, 4 banheiros, 2 vag;406000;116;Médio (0,3501-0,5000);0,481883008;818,26;24,779127911;12,897375444;37,580640982;16,112651242;0,901-1,000 (Muito alto);0,876499115;0,916228455;3500.0
monte castelo;Casa para Venda em Fortaleza, Monte Castelo, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas;380000;67;Médio (0,3501-0,5000);0,434517035;688,29;32,600355036;16,686709042;38,157819390;12,245891313;0,901-1,000 (Muito alto);0,895374394;0,837843346;
antonio bezerra;Casa para Venda em Fortaleza, Antônio Bezerra, 3 dormitórios, 1 suíte, 2 banheiros, 3 vaga;450000;302;Baixo (0,2501-0,3500);0,348309204;556,87;39,125285008;16,641497143;36,244114773;7,464984750;0,801-0,900 (Alto);0,895516195;0,840697664;
parque manibura;Casa para Venda em Fortaleza, Parque Manibura, 4 dormitórios, 3 suítes, 5 banheiros, 5 vag;650000;151;Alto (0,5001-0,7000);0,578017912;1591,49;46,732432432;19,432432432;26,132432432;7,324324324;0,801-0,900 (Alto);0,852470943;0,920787325;
sao gerardo;Casa para Venda em Fortaleza, São Gerardo, 4 dormitórios, 2 suítes, 3 banheiros, 3 vagas;850000;348;Alto (0,5001-0,7000);0,594207804;1347,59;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
quintino cunha;Casa para Venda em Fortaleza, Quintino Cunha, 2 dormitórios, 2 suítes, 4 banheiros, 1 vaga;700000;256;Muito baixo (0,0000-0,2500);0,222536802;427,43;46,404062241;20,007038536;29,167190367;3,697745155;0,701-0,800 (Médio);0,737688349;0,769851144;
presidente kennedy;Casa para Venda em Fortaleza, Presidente Kennedy, 2 dormitórios, 1 banheiro, 1 vaga;260000;120;Médio (0,3501-0,5000);0,428987851;778,11;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
sao gerardo;Casa para Venda em Fortaleza, São Gerardo, 4 dormitórios, 3 suítes, 5 banheiros, 5 vagas;650000;420;Alto (0,5001-0,7000);0,594207804;1347,59;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 6 dormitórios, 2 suítes, 1 banheiro, 6 vagas;1200000;544;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
sao gerardo;Casa para Venda em Fortaleza, São Gerardo, 4 dormitórios, 2 suítes, 3 banheiros, 2 vagas;480000;207;Alto (0,5001-0,7000);0,594207804;1347,59;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
quintino cunha;Casa para Venda em Fortaleza, Quintino Cunha, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas;460000;200;Muito baixo (0,0000-0,2500);0,222536802;427,43;46,404062241;20,007038536;29,167190367;3,697745155;0,701-0,800 (Médio);0,737688349;0,769851144;2300.0
jardim guanabara;Casa para Venda em Fortaleza, Jardim Guanabara, 6 dormitórios, 1 suíte, 3 banheiros, 1 vag;380000;198;Baixo (0,2501-0,3500);0,325108052;508,03;40,911753823;21,190490873;31,845091268;5,250986680;0,701-0,800 (Médio);0,811429133;0,813284402;
sao gerardo;Casa para Venda em Fortaleza, São Gerardo, 4 dormitórios, 2 suítes, 3 banheiros, 4 vagas;680000;275;Alto (0,5001-0,7000);0,594207804;1347,59;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
vila velha;Casa para Venda em Fortaleza, Vila Velha, 3 dormitórios, 1 suíte, 1 banheiro, 2 vagas;369000;108;Baixo (0,2501-0,3500);0,271651977;486,95;40,911753823;21,190490873;31,845091268;5,250986680;0,701-0,800 (Médio);0,811429133;0,813284402;
dom lustosa;Casa para Venda em Fortaleza, Dom Lustosa, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga;800000;396;Baixo (0,2501-0,3500);0,32009171;547,8;50,670837678;18,786930831;27,233229058;3,166492875;0,701-0,800 (Médio);0,786475485;0,743744374;
itaoca;Casa para Venda em Fortaleza, Itaoca, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas;420000;210;Médio (0,3501-0,5000);0,373493056;605,65;34,077998528;20,844738779;31,805739514;11,958793230;0,801-0,900 (Alto);0,850397873;0,898943581;2000.0
jardim das oliveiras;Casa para Venda em Fortaleza, Jardim das Oliveiras, 3 dormitórios, 2 suítes, 3 banheiros,;580000;178;Baixo (0,2501-0,3500);0,270016708;474,77;36,116420294;18,467084412;29,666368277;14,104952459;0,801-0,900 (Alto);0,782830885;0,853864084;
jardim guanabara;Casa para Venda em Fortaleza, Jardim Guanabara, 8 dormitórios, 5 suítes, 6 banheiros, 6 va;900000;396;Baixo (0,2501-0,3500);0,325108052;508,03;40,911753823;21,190490873;31,845091268;5,250986680;0,701-0,800 (Médio);0,811429133;0,813284402;
monte castelo;Casa para Venda em Fortaleza, Monte Castelo, 2 dormitórios, 1 banheiro, 1 vaga;249900;100;Médio (0,3501-0,5000);0,434517035;688,29;32,600355036;16,686709042;38,157819390;12,245891313;0,901-1,000 (Muito alto);0,895374394;0,837843346;2499.0
dionisio torres;Casa para Venda em Fortaleza, Dionisio Torres, 3 dormitórios, 1 suíte, 2 banheiros, 2 vaga;1000000;263;Muito alto (0,800-1,0000);0,859689667;2707,35;21,701616731;12,380978974;36,327590540;29,506045291;0,901-1,000 (Muito alto);0,966210918;0,949667769;
aldeota;Casa para Venda em Fortaleza, Aldeota, 5 dormitórios, 4 suítes, 6 banheiros, 5 vagas;1500000;319;Muito alto (0,800-1,0000);0,866564809;2901,57;14,701582498;10,349072815;32,870809716;41,403985740;0,901-1,000 (Muito alto);0,933232618;0,976812435;
sao bento;Casa para Venda em Fortaleza, São Bento, 3 dormitórios, 3 suítes, 4 banheiros, 3 vagas;385000;105;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;
cidade dos funcionarios;Casa para Venda em Fortaleza, Cidade dos Funcionários, 3 dormitórios, 3 suítes, 4 banheiro;499000;245;Alto (0,5001-0,7000);0,571862895;1549,05;36,116420294;18,467084412;29,666368277;14,104952459;0,801-0,900 (Alto);0,782830885;0,853864084;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga;395000;145;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas;690000;250;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;2760.0
joaquim tavora;Casa para Venda em Fortaleza, Centro, 6 dormitórios, 3 suítes, 6 banheiros, 3 vagas;1300000;406;Alto (0,5001-0,7000);0,662519548;1446,03;21,701616731;12,380978974;36,327590540;29,506045291;0,901-1,000 (Muito alto);0,966210918;0,949667769;
mondubim;Casa para Venda em Fortaleza, Mondubim, 3 dormitórios, 3 suítes, 4 banheiros, 5 vagas;599000;360;Muito baixo (0,0000-0,2500);0,232790791;500,06;42,399046155;20,863794672;31,702801920;4,576260550;0,701-0,800 (Médio);0,800166323;0,824973502;
rodolfo teofilo;Casa para Venda em Fortaleza, Rodolfo Teófilo, 6 dormitórios, 2 suítes, 4 banheiros, 1 vag;480000;198;Médio (0,3501-0,5000);0,481883008;818,26;24,779127911;12,897375444;37,580640982;16,112651242;0,901-1,000 (Muito alto);0,876499115;0,916228455;
rodolfo teofilo;Casa para Venda em Fortaleza, Rodolfo Teófilo, 3 dormitórios, 2 suítes, 3 banheiros, 2 vag;500000;390;Médio (0,3501-0,5000);0,481883008;818,26;24,779127911;12,897375444;37,580640982;16,112651242;0,901-1,000 (Muito alto);0,876499115;0,916228455;
sao gerardo;Casa para Venda em Fortaleza, São Gerardo, 4 dormitórios, 4 suítes, 5 banheiros, 3 vagas;980000;468;Alto (0,5001-0,7000);0,594207804;1347,59;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
henrique jorge;Casa para Venda em Fortaleza, Henrique Jorge, 2 dormitórios, 1 suíte, 2 banheiros, 2 vagas;370000;99;Baixo (0,2501-0,3500);0,340810388;551,52;39,446985766;21,568577343;33,881066162;4,794152973;0,801-0,900 (Alto);0,83456882;0,853452247;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 4 dormitórios, 2 suítes, 3 banheiros, 2 vagas;490000;132;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
antonio bezerra;Casa para Venda em Fortaleza, Antônio Bezerra, 4 dormitórios, 2 suítes, 3 banheiros, 3 vag;550000;245;Baixo (0,2501-0,3500);0,348309204;556,87;39,125285008;16,641497143;36,244114773;7,464984750;0,801-0,900 (Alto);0,895516195;0,840697664;
sao gerardo;Casa para Venda em Fortaleza, São Gerardo, 3 dormitórios, 3 suítes, 5 banheiros, 2 vagas;1100000;264;Alto (0,5001-0,7000);0,594207804;1347,59;27,856327827;13,330356700;39,472639778;17,492682443;0,901-1,000 (Muito alto);0,920249156;0,892396638;
mondubim;Casa para Venda em Fortaleza, Mondubim, 3 dormitórios, 3 suítes, 4 banheiros, 4 vagas;315000;180;Muito baixo (0,0000-0,2500);0,232790791;500,06;42,399046155;20,863794672;31,702801920;4,576260550;0,701-0,800 (Médio);0,800166323;0,824973502;1750.0
jardim guanabara;Casa para Venda em Fortaleza, Quintino Cunha, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas;430000;250;Baixo (0,2501-0,3500);0,325108052;508,03;40,911753823;21,190490873;31,845091268;5,250986680;0,701-0,800 (Médio);0,811429133;0,813284402;1720.0
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 4 dormitórios, 1 suíte, 2 banheiros, 1 vaga;590000;272;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
cidade dos funcionarios;Casa para Venda em Fortaleza, Cidade dos Funcionários, 3 dormitórios, 1 suíte, 2 banheiros;500000;429;Alto (0,5001-0,7000);0,571862895;1549,05;36,116420294;18,467084412;29,666368277;14,104952459;0,801-0,900 (Alto);0,782830885;0,853864084;
henrique jorge;Casa para Venda em Fortaleza, Henrique Jorge, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas;390000;97;Baixo (0,2501-0,3500);0,340810388;551,52;39,446985766;21,568577343;33,881066162;4,794152973;0,801-0,900 (Alto);0,83456882;0,853452247;
fatima;Casa para Venda em Fortaleza, Fátima, 4 dormitórios, 3 suítes, 5 banheiros, 3 vagas;690000;158;Alto (0,5001-0,7000);0,694795867;1756,11;14,820940358;13,187295372;38,876700307;32,733655112;0,901-1,000 (Muito alto);0,968426708;0,956876508;
joquei clube;Casa para Venda em Fortaleza, Jóquei Clube, 10 dormitórios, 9 banheiros, 6 vagas;750000;330;Médio (0,3501-0,5000);0,406362443;708,67;32,043888556;17,899940084;41,428250449;8,421959257;0,801-0,900 (Alto);0,9115318;0,865542527;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 4 dormitórios, 3 suítes, 4 banheiros, 2 vagas;890000;191;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
vila velha;Casa para Venda em Fortaleza, Vila Velha, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas;359900;240;Baixo (0,2501-0,3500);0,271651977;486,95;40,911753823;21,190490873;31,845091268;5,250986680;0,701-0,800 (Médio);0,811429133;0,813284402;
parquelandia;Casa para Venda em Fortaleza, Parquelândia, 3 dormitórios, 1 suíte, 3 banheiros, 3 vagas;500000;153;Alto (0,5001-0,7000);0,62840092;1170,29;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;
